sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:44:27.135 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 823832569, -9.84802532196045, 0.09743858873844147, -0.06265534460544586, -2.6098058223724365, -1.3774124383926392, -2.2943854331970215, 0.835205078125, 0.2919921875, 0.185302734375
2, 823849236, -9.834671974182129, 0.10144339501857758, -0.07256612181663513, -2.515986919403076, -1.3263280391693115, -2.3723254203796387, 0.8388671875, 0.291015625, 0.182861328125
3, 823865903, -9.853174209594727, 0.09578144550323486, -0.059003740549087524, -2.483842611312866, -1.4879186153411865, -2.340885639190674, 0.8427734375, 0.291748046875, 0.180908203125
4, 823882570, -9.86080265045166, 0.08872110396623611, -0.050322920083999634, -2.4496757984161377, -1.4541484117507935, -2.404546022415161, 0.8408203125, 0.2900390625, 0.181396484375
5, 823899237, -9.847658157348633, 0.1071404367685318, -0.05177485942840576, -2.5235040187835693, -1.4323647022247314, -2.3528852462768555, 0.8388671875, 0.29150390625, 0.182861328125
6, 823915904, -9.849146842956543, 0.10742925107479095, -0.0706992968916893, -2.5336976051330566, -1.448487639427185, -2.3850417137145996, 0.833740234375, 0.2919921875, 0.185791015625
7, 823932571, -9.831194877624512, 0.09700957685709, -0.06205267459154129, -2.4724321365356445, -1.562246561050415, -2.334315776824951, 0.837646484375, 0.292724609375, 0.184326171875
8, 823949238, -9.855207443237305, 0.10251007229089737, -0.036885347217321396, -2.4094765186309814, -1.4470791816711426, -2.313044786453247, 0.83935546875, 0.29150390625, 0.181884765625
9, 823965905, -9.85468578338623, 0.09263632446527481, -0.05701865255832672, -2.5196750164031982, -1.4460290670394897, -2.248807907104492, 0.841796875, 0.29052734375, 0.183837890625
10, 823982572, -9.860835075378418, 0.09294415265321732, -0.06371326744556427, -2.512362480163574, -1.4384733438491821, -2.286599636077881, 0.84130859375, 0.2900390625, 0.183837890625
11, 823999239, -9.84605598449707, 0.10426244884729385, -0.07921399176120758, -2.4208099842071533, -1.4875215291976929, -2.3983476161956787, 0.8408203125, 0.292236328125, 0.184814453125
12, 824015906, -9.847192764282227, 0.09569783508777618, -0.05836515501141548, -2.343792676925659, -1.4498838186264038, -2.3096511363983154, 0.835693359375, 0.29248046875, 0.187255859375
13, 824032573, -9.841453552246094, 0.10863946378231049, -0.06337887793779373, -2.453888416290283, -1.3788596391677856, -2.2354507446289062, 0.837158203125, 0.292724609375, 0.183349609375
14, 824049240, -9.851750373840332, 0.10799597203731537, -0.04658172279596329, -2.422039270401001, -1.4420335292816162, -2.2924649715423584, 0.83837890625, 0.2919921875, 0.184814453125
15, 824065907, -9.841724395751953, 0.10178372263908386, -0.03536489978432655, -2.4184024333953857, -1.4888150691986084, -2.2771356105804443, 0.84375, 0.290771484375, 0.182861328125
16, 824082574, -9.845110893249512, 0.11218169331550598, -0.04143572226166725, -2.4654271602630615, -1.4081223011016846, -2.283474922180176, 0.838134765625, 0.29248046875, 0.182861328125
17, 824099241, -9.849889755249023, 0.110173799097538, -0.05003104358911514, -2.519585371017456, -1.3781042098999023, -2.3025436401367188, 0.8388671875, 0.29052734375, 0.184326171875
18, 824115908, -9.858064651489258, 0.10703057050704956, -0.04225141555070877, -2.5117738246917725, -1.3761063814163208, -2.3614015579223633, 0.834228515625, 0.2919921875, 0.183837890625
19, 824132575, -9.849274635314941, 0.11143147200345993, -0.038932688534259796, -2.4696404933929443, -1.4267938137054443, -2.417428731918335, 0.834228515625, 0.29248046875, 0.183837890625
20, 824149242, -9.837398529052734, 0.10859908908605576, -0.06579335778951645, -2.4791042804718018, -1.4656994342803955, -2.3636038303375244, 0.8388671875, 0.2919921875, 0.181396484375
21, 824165909, -9.850608825683594, 0.11230501532554626, -0.04668937250971794, -2.485802412033081, -1.4917349815368652, -2.224181652069092, 0.84326171875, 0.294677734375, 0.181884765625
22, 824182576, -9.840986251831055, 0.10234414041042328, -0.03413917124271393, -2.579545021057129, -1.4226831197738647, -2.334392786026001, 0.84033203125, 0.2919921875, 0.180908203125
23, 824199243, -9.849857330322266, 0.10031365603208542, -0.04638034850358963, -2.47218918800354, -1.402564287185669, -2.3108930587768555, 0.83935546875, 0.29052734375, 0.183349609375
24, 824215910, -9.848250389099121, 0.10309155285358429, -0.02662302553653717, -2.4636342525482178, -1.4627283811569214, -2.351719617843628, 0.836181640625, 0.291015625, 0.184814453125
25, 824232577, -9.837345123291016, 0.10252348333597183, -0.056460995227098465, -2.5136818885803223, -1.3961995840072632, -2.29776668548584, 0.838134765625, 0.293212890625, 0.183837890625
26, 824249244, -9.845466613769531, 0.10513731837272644, -0.03874458000063896, -2.422628402709961, -1.4577981233596802, -2.2962937355041504, 0.83935546875, 0.292236328125, 0.182861328125
27, 824265911, -9.856968879699707, 0.09425955265760422, -0.05817051976919174, -2.4745068550109863, -1.3656178712844849, -2.252483367919922, 0.84521484375, 0.292236328125, 0.181884765625
28, 824282578, -9.852127075195312, 0.09753359109163284, -0.03904860094189644, -2.4085800647735596, -1.456709384918213, -2.2824628353118896, 0.84033203125, 0.29150390625, 0.182861328125
29, 824299245, -9.857525825500488, 0.10515927523374557, -0.06603197008371353, -2.4516990184783936, -1.4538153409957886, -2.3643596172332764, 0.84033203125, 0.292724609375, 0.185302734375
30, 824315912, -9.84878158569336, 0.09633493423461914, -0.047051239758729935, -2.391855001449585, -1.4577341079711914, -2.3081910610198975, 0.835205078125, 0.293701171875, 0.185302734375
31, 824332579, -9.84947681427002, 0.10413705557584763, -0.0293506421148777, -2.4647738933563232, -1.329196572303772, -2.2271647453308105, 0.836669921875, 0.29248046875, 0.183349609375
32, 824349246, -9.847318649291992, 0.1156061515212059, -0.061988864094018936, -2.552126169204712, -1.3450126647949219, -2.3568549156188965, 0.83837890625, 0.291015625, 0.183349609375
33, 824365913, -9.84781265258789, 0.12131870537996292, -0.05755409970879555, -2.6384665966033936, -1.3643757104873657, -2.2524192333221436, 0.8427734375, 0.291748046875, 0.183349609375
34, 824382580, -9.842007637023926, 0.10867238789796829, -0.061200786381959915, -2.5028347969055176, -1.4221197366714478, -2.352372884750366, 0.83935546875, 0.29150390625, 0.183349609375
35, 824399247, -9.85456371307373, 0.11354518681764603, -0.05675119906663895, -2.3890886306762695, -1.4827193021774292, -2.26952862739563, 0.83935546875, 0.29150390625, 0.186767578125
36, 824415914, -9.849135398864746, 0.1037680059671402, -0.05353987589478493, -2.4282889366149902, -1.4073667526245117, -2.23887038230896, 0.834716796875, 0.291015625, 0.185791015625
37, 824432581, -9.850590705871582, 0.09935344755649567, -0.06859828531742096, -2.492922782897949, -1.3953927755355835, -2.2804269790649414, 0.837158203125, 0.292724609375, 0.184326171875
38, 824449248, -9.854609489440918, 0.09649880975484848, -0.04275069013237953, -2.47387957572937, -1.4006946086883545, -2.358417272567749, 0.8408203125, 0.29052734375, 0.184326171875
39, 824465915, -9.851520538330078, 0.10191592574119568, -0.05773099884390831, -2.4901180267333984, -1.4467077255249023, -2.291389226913452, 0.8408203125, 0.292236328125, 0.182861328125
40, 824482582, -9.837868690490723, 0.11126016080379486, -0.044951021671295166, -2.534402370452881, -1.4527779817581177, -2.260051965713501, 0.8408203125, 0.29150390625, 0.184326171875
41, 824499249, -9.838571548461914, 0.09643251448869705, -0.05189172551035881, -2.552664279937744, -1.4253851175308228, -2.2969086170196533, 0.83935546875, 0.291748046875, 0.184814453125
42, 824515916, -9.843717575073242, 0.10155199468135834, -0.025987092405557632, -2.418889284133911, -1.4447356462478638, -2.3574185371398926, 0.834716796875, 0.293212890625, 0.184326171875
43, 824532583, -9.842384338378906, 0.09608008712530136, -0.03893199935555458, -2.476491928100586, -1.4619218111038208, -2.336838722229004, 0.836181640625, 0.29248046875, 0.185302734375
44, 824549250, -9.836931228637695, 0.10582888126373291, -0.07162387669086456, -2.4112308025360107, -1.5113157033920288, -2.369494915008545, 0.837158203125, 0.293701171875, 0.182373046875
45, 824565917, -9.833298683166504, 0.10182744264602661, -0.03863731026649475, -2.454554557800293, -1.5078837871551514, -2.3320109844207764, 0.84033203125, 0.29150390625, 0.181884765625
46, 824582584, -9.856595993041992, 0.10746500641107559, -0.04276870936155319, -2.4349353313446045, -1.497792363166809, -2.3095996379852295, 0.84228515625, 0.29052734375, 0.184814453125
47, 824599251, -9.858244895935059, 0.09604866802692413, -0.03704626485705376, -2.5337491035461426, -1.4567350149154663, -2.3012239933013916, 0.84033203125, 0.291015625, 0.183837890625
48, 824615918, -9.851418495178223, 0.09983668476343155, -0.07378170639276505, -2.5564680099487305, -1.4551730155944824, -2.42380690574646, 0.835693359375, 0.29150390625, 0.185791015625
49, 824632585, -9.846548080444336, 0.11518605053424835, -0.032771579921245575, -2.5298562049865723, -1.3904750347137451, -2.3971569538116455, 0.837158203125, 0.293212890625, 0.183349609375
50, 824649252, -9.84440803527832, 0.1093747466802597, -0.04252123460173607, -2.481025457382202, -1.3485727310180664, -2.357098340988159, 0.83837890625, 0.29150390625, 0.183349609375
51, 824665919, -9.852046966552734, 0.09617853909730911, -0.05538444221019745, -2.531175136566162, -1.4235411882400513, -2.25895094871521, 0.841796875, 0.292724609375, 0.181884765625
52, 824682586, -9.844240188598633, 0.10575629770755768, -0.05201559141278267, -2.4644925594329834, -1.485357403755188, -2.349914312362671, 0.84033203125, 0.293212890625, 0.181884765625
53, 824699253, -9.845307350158691, 0.09399161487817764, -0.043861713260412216, -2.322943925857544, -1.5183978080749512, -2.3574697971343994, 0.839111328125, 0.293701171875, 0.184814453125
54, 824715920, -9.843316078186035, 0.1031046137213707, -0.05049227923154831, -2.3834409713745117, -1.5323054790496826, -2.2253339290618896, 0.834228515625, 0.2919921875, 0.185791015625
55, 824732587, -9.849055290222168, 0.10490979254245758, -0.05150904506444931, -2.4524545669555664, -1.3662452697753906, -2.25907826423645, 0.837158203125, 0.292236328125, 0.185791015625
56, 824749254, -9.8531494140625, 0.11108654737472534, -0.03796109929680824, -2.550410270690918, -1.3796665668487549, -2.375847101211548, 0.83984375, 0.291748046875, 0.183837890625
57, 824765921, -9.84316635131836, 0.10955984145402908, -0.025380617007613182, -2.5235042572021484, -1.326520323753357, -2.293438196182251, 0.84423828125, 0.28955078125, 0.181396484375
58, 824782588, -9.847380638122559, 0.11910684406757355, -0.06696950644254684, -2.481870651245117, -1.499534010887146, -2.3837742805480957, 0.841796875, 0.2890625, 0.182373046875
59, 824799255, -9.860370635986328, 0.11460509151220322, -0.03821024298667908, -2.4930124282836914, -1.5252236127853394, -2.3218681812286377, 0.838623046875, 0.292724609375, 0.183349609375
60, 824815922, -9.837372779846191, 0.1131848692893982, -0.056163378059864044, -2.4047763347625732, -1.4448891878128052, -2.332702159881592, 0.836181640625, 0.291015625, 0.184814453125
61, 824832589, -9.849262237548828, 0.09972550719976425, -0.057559430599212646, -2.4028427600860596, -1.4485902786254883, -2.279171943664551, 0.837646484375, 0.2919921875, 0.183349609375
62, 824849256, -9.831684112548828, 0.10112635046243668, -0.036487530916929245, -2.3513870239257812, -1.5671260356903076, -2.3663320541381836, 0.8388671875, 0.29150390625, 0.181884765625
63, 824865923, -9.84591007232666, 0.10077446699142456, -0.038321562111377716, -2.350708246231079, -1.5788054466247559, -2.3230338096618652, 0.8408203125, 0.2900390625, 0.183837890625
64, 824882590, -9.838971138000488, 0.10625427216291428, -0.06094570457935333, -2.366626501083374, -1.4467846155166626, -2.2346696853637695, 0.841796875, 0.2900390625, 0.182861328125
65, 824899257, -9.843219757080078, 0.11231444031000137, -0.035921610891819, -2.3812127113342285, -1.4978948831558228, -2.232633590698242, 0.8408203125, 0.291259765625, 0.1884765625
66, 824915924, -9.862135887145996, 0.09412635117769241, -0.020923834294080734, -2.3719921112060547, -1.4921832084655762, -2.262382745742798, 0.835693359375, 0.291015625, 0.185302734375
67, 824932591, -9.84228229522705, 0.10489781200885773, -0.06670596450567245, -2.4891703128814697, -1.4535080194473267, -2.3716466426849365, 0.836181640625, 0.2919921875, 0.186279296875
68, 824949258, -9.849813461303711, 0.11161023378372192, -0.026103850454092026, -2.448638439178467, -1.3444619178771973, -2.210158348083496, 0.83984375, 0.292236328125, 0.182373046875
69, 824965925, -9.841236114501953, 0.10204142332077026, -0.06496959924697876, -2.5286006927490234, -1.3252394199371338, -2.3437540531158447, 0.8427734375, 0.292724609375, 0.181884765625
70, 824982592, -9.841999053955078, 0.10083228349685669, -0.05991508439183235, -2.6121110916137695, -1.3538488149642944, -2.3675739765167236, 0.84033203125, 0.29150390625, 0.183349609375
71, 824999259, -9.846128463745117, 0.10961470007896423, -0.029643740504980087, -2.6693813800811768, -1.3058381080627441, -2.2652642726898193, 0.83984375, 0.291748046875, 0.184326171875
72, 825015926, -9.849223136901855, 0.11457934975624084, -0.05944892764091492, -2.6401443481445312, -1.299127459526062, -2.3497860431671143, 0.835205078125, 0.291015625, 0.186767578125
73, 825032593, -9.847095489501953, 0.09146934002637863, -0.06508605182170868, -2.6309239864349365, -1.3214874267578125, -2.2840254306793213, 0.836181640625, 0.292236328125, 0.187744140625
74, 825049260, -9.84876537322998, 0.10790149122476578, -0.04634840041399002, -2.545044183731079, -1.2711453437805176, -2.2091591358184814, 0.8388671875, 0.2919921875, 0.183837890625
75, 825065927, -9.852377891540527, 0.1091616153717041, -0.02822786569595337, -2.5806972980499268, -1.2885109186172485, -2.288123369216919, 0.841796875, 0.291015625, 0.180419921875
76, 825082594, -9.850095748901367, 0.10092927515506744, -0.04819391667842865, -2.4420430660247803, -1.4277032613754272, -2.256850242614746, 0.841796875, 0.29150390625, 0.182373046875
77, 825099261, -9.83905029296875, 0.11752831935882568, -0.04884597286581993, -2.4522624015808105, -1.5125067234039307, -2.2924649715423584, 0.83935546875, 0.291015625, 0.183349609375
78, 825115928, -9.850224494934082, 0.11249830573797226, -0.04210008308291435, -2.355344295501709, -1.4690420627593994, -2.2962169647216797, 0.835205078125, 0.2919921875, 0.187255859375
79, 825132595, -9.849810600280762, 0.10305112600326538, -0.035148896276950836, -2.331076145172119, -1.4262049198150635, -2.2118232250213623, 0.836669921875, 0.292724609375, 0.184814453125
80, 825149262, -9.850852966308594, 0.10991325229406357, -0.04471438005566597, -2.354639768600464, -1.471488118171692, -2.328207492828369, 0.83837890625, 0.29150390625, 0.185302734375
81, 825165929, -9.839370727539062, 0.10077571123838425, -0.050284963101148605, -2.402458429336548, -1.572722315788269, -2.267108201980591, 0.84326171875, 0.291259765625, 0.184814453125
82, 825182596, -9.846023559570312, 0.09901947528123856, -0.05970340594649315, -2.354780673980713, -1.4293423891067505, -2.308485507965088, 0.8408203125, 0.2900390625, 0.184814453125
83, 825199263, -9.849579811096191, 0.10500015318393707, -0.042482730001211166, -2.4453084468841553, -1.4364371299743652, -2.2671597003936768, 0.837890625, 0.2900390625, 0.186279296875
84, 825215930, -9.844992637634277, 0.10965296626091003, -0.05729728192090988, -2.4929869174957275, -1.4159725904464722, -2.279261589050293, 0.837646484375, 0.291015625, 0.185302734375
85, 825232597, -9.844395637512207, 0.09593548625707626, -0.04037046432495117, -2.379035711288452, -1.424911379814148, -2.306065082550049, 0.838134765625, 0.292724609375, 0.185791015625
86, 825249264, -9.853574752807617, 0.1102801263332367, -0.043785691261291504, -2.3580329418182373, -1.559838891029358, -2.334623098373413, 0.84228515625, 0.293212890625, 0.182373046875
87, 825265931, -9.853219032287598, 0.11258839070796967, -0.03760543838143349, -2.421988010406494, -1.4954744577407837, -2.3217785358428955, 0.84375, 0.29052734375, 0.181396484375
88, 825282598, -9.84911060333252, 0.09937084466218948, -0.06580961495637894, -2.5204174518585205, -1.6152520179748535, -2.3047585487365723, 0.84228515625, 0.28955078125, 0.18603515625
89, 825299265, -9.852543830871582, 0.10268662869930267, -0.04119381308555603, -2.5365283489227295, -1.4895706176757812, -2.3686368465423584, 0.836669921875, 0.2919921875, 0.183837890625
90, 825315932, -9.842897415161133, 0.10940911620855331, -0.032666388899087906, -2.3994362354278564, -1.442494511604309, -2.362131357192993, 0.835205078125, 0.29150390625, 0.188720703125
91, 825332599, -9.84765338897705, 0.1099386066198349, -0.025758255273103714, -2.545799732208252, -1.4020519256591797, -2.3376197814941406, 0.837646484375, 0.292724609375, 0.187255859375
92, 825349266, -9.848681449890137, 0.10545242577791214, -0.04245438799262047, -2.4568469524383545, -1.4116567373275757, -2.2523040771484375, 0.83984375, 0.292236328125, 0.183837890625
93, 825365933, -9.850726127624512, 0.11282007396221161, -0.040996260941028595, -2.451071262359619, -1.4321212768554688, -2.235386610031128, 0.84375, 0.291259765625, 0.181884765625
94, 825382600, -9.85828685760498, 0.09023792296648026, -0.05345487222075462, -2.378690004348755, -1.5518991947174072, -2.2731144428253174, 0.8408203125, 0.28955078125, 0.184814453125
95, 825399267, -9.850272178649902, 0.11244499683380127, -0.06430157274007797, -2.3162975311279297, -1.617723822593689, -2.373605728149414, 0.83935546875, 0.2900390625, 0.185302734375
96, 825415934, -9.852259635925293, 0.10920768976211548, -0.0435495562851429, -2.116799831390381, -1.6853283643722534, -2.2454652786254883, 0.833251953125, 0.291015625, 0.188232421875
97, 825432601, -9.85124397277832, 0.0906638354063034, -0.04472237825393677, -2.0676491260528564, -1.6162638664245605, -2.167487382888794, 0.835205078125, 0.2919921875, 0.184326171875
98, 825449268, -9.851679801940918, 0.10002823173999786, -0.045692432671785355, -2.1974031925201416, -1.5517454147338867, -2.2723844051361084, 0.836669921875, 0.2900390625, 0.184814453125
99, 825465935, -9.845930099487305, 0.10480805486440659, -0.03378072381019592, -2.4623923301696777, -1.4793896675109863, -2.273946762084961, 0.84130859375, 0.29150390625, 0.183837890625
100, 825482602, -9.844649314880371, 0.11283975839614868, -0.04720589146018028, -2.506164312362671, -1.4567735195159912, -2.2248728275299072, 0.84228515625, 0.291015625, 0.183349609375
101, 825499269, -9.85918140411377, 0.09687529504299164, -0.040395088493824005, -2.5232737064361572, -1.3641196489334106, -2.266467809677124, 0.837646484375, 0.292724609375, 0.185791015625
102, 825515936, -9.861597061157227, 0.08673995733261108, -0.05715619772672653, -2.660736560821533, -1.327301263809204, -2.2530462741851807, 0.835693359375, 0.2919921875, 0.185302734375
103, 825532603, -9.839926719665527, 0.10012403130531311, -0.04629792273044586, -2.7833964824676514, -1.2166800498962402, -2.227933645248413, 0.837158203125, 0.29150390625, 0.186767578125
104, 825549270, -9.841883659362793, 0.1193498894572258, -0.0484212264418602, -2.730557441711426, -1.3860443830490112, -2.3604540824890137, 0.8388671875, 0.292236328125, 0.185302734375
105, 825565937, -9.847904205322266, 0.10448552668094635, -0.04769839718937874, -2.439417600631714, -1.450831413269043, -2.4288268089294434, 0.84228515625, 0.29052734375, 0.183349609375
106, 825582604, -9.85816764831543, 0.10457603633403778, -0.059994470328092575, -2.3280534744262695, -1.5350077152252197, -2.365896463394165, 0.841796875, 0.291259765625, 0.183349609375
107, 825599271, -9.844123840332031, 0.10243281722068787, -0.03607698157429695, -2.249896287918091, -1.4474247694015503, -2.3278613090515137, 0.83837890625, 0.29150390625, 0.183837890625
108, 825615938, -9.85354995727539, 0.10599958896636963, -0.03942694514989853, -2.4052886962890625, -1.4962300062179565, -2.369494915008545, 0.835693359375, 0.29248046875, 0.185791015625
109, 825632605, -9.832487106323242, 0.112745501101017, -0.04315892979502678, -2.543238639831543, -1.460564374923706, -2.3035805225372314, 0.834716796875, 0.2919921875, 0.183837890625
110, 825649272, -9.846501350402832, 0.10886038094758987, -0.02701960876584053, -2.6702654361724854, -1.4111192226409912, -2.3916118144989014, 0.837158203125, 0.29150390625, 0.184814453125
111, 825665939, -9.85451889038086, 0.10560661554336548, -0.027368318289518356, -2.7081849575042725, -1.443519115447998, -2.2796716690063477, 0.84130859375, 0.292236328125, 0.183349609375
112, 825682606, -9.838517189025879, 0.1069047749042511, -0.046579908579587936, -2.5194573402404785, -1.42331063747406, -2.298611879348755, 0.8427734375, 0.291748046875, 0.183837890625
113, 825699273, -9.849851608276367, 0.10866303741931915, -0.05422905087471008, -2.5056650638580322, -1.4896475076675415, -2.3247623443603516, 0.83935546875, 0.29150390625, 0.185302734375
114, 825715940, -9.856181144714355, 0.09382905811071396, -0.04449472948908806, -2.4228079319000244, -1.565140962600708, -2.3364675045013428, 0.837646484375, 0.292236328125, 0.186279296875
115, 825732607, -9.852715492248535, 0.09891217201948166, -0.04492928460240364, -2.4583323001861572, -1.5041441917419434, -2.3167197704315186, 0.836181640625, 0.2919921875, 0.185791015625
116, 825749274, -9.849325180053711, 0.10000983625650406, -0.04031258076429367, -2.4814352989196777, -1.367026686668396, -2.3522703647613525, 0.838623046875, 0.294677734375, 0.182861328125
117, 825765941, -9.851309776306152, 0.10691546648740768, -0.029505407437682152, -2.508110761642456, -1.3611741065979004, -2.295576810836792, 0.84326171875, 0.293212890625, 0.183349609375
118, 825782608, -9.845781326293945, 0.10809643566608429, -0.040912847965955734, -2.5862810611724854, -1.3483421802520752, -2.3616957664489746, 0.8427734375, 0.29052734375, 0.18505859375
119, 825799275, -9.851975440979004, 0.09782897680997849, -0.054740775376558304, -2.582028865814209, -1.3341398239135742, -2.3479158878326416, 0.83740234375, 0.2900390625, 0.184326171875
120, 825815942, -9.843692779541016, 0.1099744588136673, -0.036547526717185974, -2.633267641067505, -1.2644222974777222, -2.3100478649139404, 0.835693359375, 0.29248046875, 0.186279296875
