DeviceTag:,A,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,
FilterProfile:,General,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,
StartTime:,2022-08-03 13:45:13.419 +0300,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,
,,,,,,,,,,
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1,870122447,9.819921494,-0.211980641,-0.010456439,-2.448766232,-1.435105205,-2.363155842,-0.875976563,-0.246826172,0.178222656
2,870139114,9.811512947,-0.229270756,-0.019532174,-2.615005493,-1.312484384,-2.471062183,-0.87890625,-0.245849609,0.175537109
3,870155781,9.814661026,-0.22087574,-0.000490268,-2.572155237,-1.298935413,-2.371710539,-0.881347656,-0.244384766,0.174072266
4,870172448,9.806078911,-0.224980623,-0.010139046,-2.64394784,-1.324740052,-2.36507678,-0.883300781,-0.246826172,0.177001953
5,870189115,9.810722351,-0.220342636,-0.010715897,-2.516767979,-1.465302587,-2.247322559,-0.880371094,-0.245849609,0.176513672
6,870205782,9.800755501,-0.23455146,-0.004227421,-2.490002632,-1.378257751,-2.305719376,-0.877929688,-0.245361328,0.178222656
7,870222449,9.804977417,-0.233981788,-0.018075924,-2.496380091,-1.533931851,-2.350989819,-0.875,-0.244384766,0.179199219
8,870239116,9.807976723,-0.225341082,-0.009749554,-2.449534655,-1.49474442,-2.404085159,-0.881835938,-0.246826172,0.176513672
9,870255783,9.810432434,-0.228239402,0.00554337,-2.356086969,-1.554819107,-2.362182856,-0.883300781,-0.245849609,0.175537109
10,870272450,9.819857597,-0.222610712,0.002705565,-2.378766775,-1.577537537,-2.241533995,-0.8828125,-0.245849609,0.176025391
11,870289117,9.805609703,-0.224034652,-0.019006344,-2.507214546,-1.432057261,-2.370967627,-0.8828125,-0.245361328,0.179443359
12,870305784,9.815089226,-0.22948271,-0.025713958,-2.586242676,-1.429752231,-2.308293343,-0.877441406,-0.246337891,0.180175781
13,870322451,9.808012009,-0.217756972,-0.012622153,-2.671212673,-1.37810421,-2.320152044,-0.877441406,-0.245361328,0.178222656
14,870339118,9.807908058,-0.215793863,-0.007526416,-2.548732519,-1.444940448,-2.313287735,-0.881347656,-0.245361328,0.178955078
15,870355785,9.816711426,-0.240044087,-0.004667174,-2.345969677,-1.464662194,-2.350746155,-0.8828125,-0.244873047,0.177978516
