sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:47:55.978 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 1032690705, -0.19690459966659546, -9.783220291137695, -0.07486873865127563, -2.566072463989258, -1.5266834497451782, -2.3124301433563232, -0.32373046875, 0.8125, 0.1142578125
2, 1032707372, -0.1969781219959259, -9.774373054504395, -0.0704742893576622, -2.588521957397461, -1.530013084411621, -2.321458578109741, -0.31884765625, 0.814697265625, 0.111328125
3, 1032724039, -0.21001051366329193, -9.786197662353516, -0.06526342779397964, -2.52945876121521, -1.5153497457504272, -2.35695743560791, -0.31884765625, 0.816650390625, 0.11376953125
4, 1032740706, -0.1996309906244278, -9.786237716674805, -0.08582062274217606, -2.51975154876709, -1.474138855934143, -2.3594160079956055, -0.31884765625, 0.819580078125, 0.112548828125
5, 1032757373, -0.20385469496250153, -9.777579307556152, -0.08037922531366348, -2.552690029144287, -1.4025386571884155, -2.3326640129089355, -0.31982421875, 0.817138671875, 0.111572265625
6, 1032774040, -0.19491325318813324, -9.778131484985352, -0.06841140240430832, -2.424421548843384, -1.5238916873931885, -2.2805933952331543, -0.322265625, 0.816650390625, 0.1162109375
7, 1032790707, -0.20911678671836853, -9.778414726257324, -0.08065450191497803, -2.4821269512176514, -1.451279640197754, -2.2874832153320312, -0.31884765625, 0.814208984375, 0.1142578125
8, 1032807374, -0.19101940095424652, -9.792689323425293, -0.07659617066383362, -2.4240498542785645, -1.4345417022705078, -2.3460848331451416, -0.32177734375, 0.8125, 0.11572265625
9, 1032824041, -0.20382024347782135, -9.777488708496094, -0.07988351583480835, -2.417800188064575, -1.3537976741790771, -2.3533332347869873, -0.3193359375, 0.815673828125, 0.11376953125
10, 1032840708, -0.20208367705345154, -9.76740837097168, -0.08922333270311356, -2.426201581954956, -1.4229646921157837, -2.356137990951538, -0.318359375, 0.818115234375, 0.111572265625
11, 1032857375, -0.19741371273994446, -9.770263671875, -0.06594693660736084, -2.3874878883361816, -1.4516637325286865, -2.4272515773773193, -0.32177734375, 0.818115234375, 0.112060546875
