sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:47:09.528 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 986221082, 0.1461709886789322, 9.85676097869873, -0.034871798008680344, -2.3845810890197754, -1.3542332649230957, -2.3512845039367676, 0.27099609375, -0.86962890625, 0.18701171875
2, 986237749, 0.15131662786006927, 9.849624633789062, -0.03010844811797142, -2.393545389175415, -1.2320349216461182, -2.4302098751068115, 0.271484375, -0.868896484375, 0.190185546875
3, 986254416, 0.16176681220531464, 9.846580505371094, -0.04220888763666153, -2.417198657989502, -1.336381196975708, -2.387436628341675, 0.270751953125, -0.864501953125, 0.189453125
4, 986271083, 0.17098477482795715, 9.850146293640137, -0.031599387526512146, -2.4112560749053955, -1.3553342819213867, -2.2553389072418213, 0.274169921875, -0.862060546875, 0.193115234375
5, 986287750, 0.15560829639434814, 9.836920738220215, -0.03402804955840111, -2.365960121154785, -1.4063549041748047, -2.2340803146362305, 0.271728515625, -0.865478515625, 0.19189453125
6, 986304417, 0.16422609984874725, 9.844802856445312, -0.02888679876923561, -2.5069072246551514, -1.44551682472229, -2.4214632511138916, 0.27197265625, -0.869384765625, 0.189453125
7, 986321084, 0.1770925670862198, 9.845303535461426, -0.03954840078949928, -2.5234782695770264, -1.2625395059585571, -2.457756280899048, 0.27197265625, -0.869873046875, 0.189453125
8, 986337751, 0.16956831514835358, 9.840797424316406, -0.029410075396299362, -2.4806158542633057, -1.3572170734405518, -2.4628920555114746, 0.2724609375, -0.865478515625, 0.192138671875
9, 986354418, 0.16777493059635162, 9.84813117980957, -0.02770695462822914, -2.4928712844848633, -1.4632408618927002, -2.2562100887298584, 0.270751953125, -0.862548828125, 0.19091796875
10, 986371085, 0.14423689246177673, 9.845405578613281, -0.02888457477092743, -2.492615222930908, -1.516425609588623, -2.2182774543762207, 0.272216796875, -0.863525390625, 0.192626953125
11, 986387752, 0.15796172618865967, 9.85834789276123, -0.03317667171359062, -2.4414539337158203, -1.393638253211975, -2.269503116607666, 0.27392578125, -0.867431640625, 0.1884765625
12, 986404419, 0.17271992564201355, 9.849357604980469, -0.05105075240135193, -2.394223928451538, -1.1901198625564575, -2.4050838947296143, 0.2705078125, -0.868408203125, 0.1875
13, 986421086, 0.1560753881931305, 9.850743293762207, -0.045595165342092514, -2.4264705181121826, -1.2089706659317017, -2.506676435470581, 0.2705078125, -0.8701171875, 0.189453125
14, 986437753, 0.1641160398721695, 9.842185020446777, -0.03644690662622452, -2.42048978805542, -1.4931690692901611, -2.335007429122925, 0.269775390625, -0.866943359375, 0.19140625
15, 986454420, 0.1599006950855255, 9.847516059875488, -0.027480989694595337, -2.4149577617645264, -1.4836925268173218, -2.2795562744140625, 0.2734375, -0.865966796875, 0.192138671875
16, 986471087, 0.15436658263206482, 9.844351768493652, -0.0366489514708519, -2.480116128921509, -1.5302181243896484, -2.154834747314453, 0.273681640625, -0.862548828125, 0.192138671875
17, 986487754, 0.15783263742923737, 9.843914031982422, -0.042974717915058136, -2.5267956256866455, -1.3128300905227661, -2.376718044281006, 0.269775390625, -0.865966796875, 0.19091796875
18, 986504421, 0.1562441736459732, 9.847387313842773, -0.033505879342556, -2.592235803604126, -1.2962075471878052, -2.457141637802124, 0.27001953125, -0.868408203125, 0.18896484375
19, 986521088, 0.16453811526298523, 9.839083671569824, -0.03740859031677246, -2.3951973915100098, -1.3951749801635742, -2.363898754119873, 0.26904296875, -0.869384765625, 0.191650390625
20, 986537755, 0.16727328300476074, 9.855950355529785, -0.03628205135464668, -2.4621362686157227, -1.5591988563537598, -2.2615246772766113, 0.270263671875, -0.866455078125, 0.193115234375
21, 986554422, 0.17084965109825134, 9.849871635437012, -0.02909901551902294, -2.4203104972839355, -1.6022791862487793, -2.3278868198394775, 0.272216796875, -0.864501953125, 0.192138671875
22, 986571089, 0.155009463429451, 9.843883514404297, -0.03164970502257347, -2.4163663387298584, -1.4797353744506836, -2.3382604122161865, 0.272216796875, -0.863037109375, 0.193115234375
23, 986587756, 0.15809383988380432, 9.863908767700195, -0.01781505160033703, -2.5399601459503174, -1.2762936353683472, -2.4119482040405273, 0.2724609375, -0.864501953125, 0.1904296875
24, 986604423, 0.17210818827152252, 9.841048240661621, -0.03633159399032593, -2.486531972885132, -1.3258541822433472, -2.4194140434265137, 0.27099609375, -0.868896484375, 0.18896484375
25, 986621090, 0.15976403653621674, 9.856722831726074, -0.03873918205499649, -2.490220308303833, -1.5533076524734497, -2.331946611404419, 0.27197265625, -0.8701171875, 0.18798828125
26, 986637757, 0.15190230309963226, 9.846685409545898, -0.04036557674407959, -2.3987960815429688, -1.5935966968536377, -2.300468921661377, 0.27099609375, -0.867431640625, 0.18994140625
27, 986654424, 0.1522851139307022, 9.840230941772461, -0.022768573835492134, -2.4883124828338623, -1.5357376337051392, -2.328770875930786, 0.271484375, -0.866455078125, 0.194580078125
28, 986671091, 0.15109498798847198, 9.837285041809082, -0.03751758486032486, -2.4858531951904297, -1.4032044410705566, -2.4157257080078125, 0.271728515625, -0.862548828125, 0.19189453125
29, 986687758, 0.16179335117340088, 9.855926513671875, -0.04273507371544838, -2.519726276397705, -1.4441592693328857, -2.336928367614746, 0.27392578125, -0.865966796875, 0.191162109375
30, 986704425, 0.16627493500709534, 9.84449291229248, -0.03362041711807251, -2.456411600112915, -1.424168586730957, -2.3411548137664795, 0.27294921875, -0.865966796875, 0.1884765625
31, 986721092, 0.16451197862625122, 9.8467435836792, -0.02476133592426777, -2.5062925815582275, -1.412297248840332, -2.2695930004119873, 0.27099609375, -0.869873046875, 0.18994140625
32, 986737759, 0.1595495343208313, 9.848065376281738, -0.023240309208631516, -2.501438856124878, -1.3503143787384033, -2.4469094276428223, 0.270263671875, -0.866455078125, 0.192626953125
33, 986754426, 0.16155104339122772, 9.849143028259277, -0.04239097610116005, -2.457423448562622, -1.4257181882858276, -2.2926056385040283, 0.271728515625, -0.864501953125, 0.194091796875
34, 986771093, 0.1549270898103714, 9.839794158935547, -0.027717329561710358, -2.4759156703948975, -1.4244630336761475, -2.3279383182525635, 0.2734375, -0.863037109375, 0.192138671875
