sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:40:10.910 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 567604655, 0.4001195430755615, 0.3193877339363098, -9.818633079528809, -2.4598565101623535, -1.4678382873535156, -2.298509359359741, -0.2958984375, -0.1875, 1.55224609375
2, 567621322, 0.37418133020401, 0.31804579496383667, -9.841219902038574, -2.430479049682617, -1.5190253257751465, -2.2597062587738037, -0.29736328125, -0.18896484375, 1.555419921875
3, 567637989, 0.39469340443611145, 0.32808423042297363, -9.840498924255371, -2.379279136657715, -1.4862282276153564, -2.279146194458008, -0.29638671875, -0.185546875, 1.558349609375
4, 567654656, 0.39914608001708984, 0.3158920407295227, -9.842751502990723, -2.463775157928467, -1.5045156478881836, -2.3324334621429443, -0.2958984375, -0.18408203125, 1.556884765625
5, 567671323, 0.4048323929309845, 0.3172593116760254, -9.846457481384277, -2.4745328426361084, -1.4351820945739746, -2.2669291496276855, -0.29736328125, -0.18505859375, 1.5498046875
6, 567687990, 0.39955049753189087, 0.3245309591293335, -9.838201522827148, -2.437009811401367, -1.471897840499878, -2.2817201614379883, -0.296875, -0.18701171875, 1.545166015625
7, 567704657, 0.3980492055416107, 0.32029521465301514, -9.832082748413086, -2.4205923080444336, -1.5041954517364502, -2.2922983169555664, -0.29638671875, -0.1875, 1.554443359375
8, 567721324, 0.3899511992931366, 0.32092124223709106, -9.836432456970215, -2.4127421379089355, -1.5305894613265991, -2.3035168647766113, -0.296875, -0.18798828125, 1.554443359375
9, 567737991, 0.3950944244861603, 0.31572502851486206, -9.830297470092773, -2.430927038192749, -1.5071794986724854, -2.3301923274993896, -0.29638671875, -0.1865234375, 1.561279296875
10, 567754658, 0.3888257145881653, 0.32187628746032715, -9.846735000610352, -2.522249221801758, -1.5462900400161743, -2.284806489944458, -0.29443359375, -0.18505859375, 1.552978515625
11, 567771325, 0.3933873772621155, 0.32261499762535095, -9.834952354431152, -2.425074338912964, -1.455851435661316, -2.2694003582000732, -0.29541015625, -0.185546875, 1.5478515625
12, 567787992, 0.39249810576438904, 0.3230350911617279, -9.85379409790039, -2.4014978408813477, -1.506538987159729, -2.330038547515869, -0.29443359375, -0.1865234375, 1.54443359375
13, 567804659, 0.40135306119918823, 0.3278959393501282, -9.820527076721191, -2.4763638973236084, -1.4623059034347534, -2.3746559619903564, -0.294921875, -0.1865234375, 1.5517578125
14, 567821326, 0.4038475751876831, 0.3278881311416626, -9.846186637878418, -2.451993465423584, -1.5318443775177002, -2.2428276538848877, -0.294921875, -0.18701171875, 1.552978515625
15, 567837993, 0.4136710464954376, 0.3221760094165802, -9.828349113464355, -2.488645076751709, -1.527464509010315, -2.3005967140197754, -0.292724609375, -0.1865234375, 1.558349609375
16, 567854660, 0.3892804980278015, 0.3293112814426422, -9.817939758300781, -2.4973790645599365, -1.4563125371932983, -2.323737859725952, -0.2958984375, -0.18359375, 1.54833984375
17, 567871327, 0.3870113790035248, 0.32094332575798035, -9.849801063537598, -2.4452829360961914, -1.4934126138687134, -2.3854005336761475, -0.29638671875, -0.18310546875, 1.54931640625
18, 567887994, 0.402678519487381, 0.311298131942749, -9.847199440002441, -2.437202215194702, -1.536096215248108, -2.332869052886963, -0.2978515625, -0.18603515625, 1.54638671875
19, 567904661, 0.3978003263473511, 0.32255199551582336, -9.8328218460083, -2.4771065711975098, -1.460410714149475, -2.3006224632263184, -0.296875, -0.1875, 1.552734375
20, 567921328, 0.4020547866821289, 0.3131747245788574, -9.849446296691895, -2.412754774093628, -1.5077813863754272, -2.24129056930542, -0.29638671875, -0.189453125, 1.558837890625
21, 567937995, 0.39479634165763855, 0.3180478811264038, -9.83349609375, -2.477875232696533, -1.4834108352661133, -2.2946677207946777, -0.29541015625, -0.1865234375, 1.556396484375
22, 567954662, 0.39669424295425415, 0.30039772391319275, -9.818832397460938, -2.5019383430480957, -1.4815924167633057, -2.2597062587738037, -0.294921875, -0.1845703125, 1.556396484375
23, 567971329, 0.4030086100101471, 0.3093195855617523, -9.843682289123535, -2.4178645610809326, -1.563258409500122, -2.298919200897217, -0.29541015625, -0.18505859375, 1.548828125
24, 567987996, 0.40522870421409607, 0.31258130073547363, -9.846402168273926, -2.4700376987457275, -1.4717185497283936, -2.2229902744293213, -0.2958984375, -0.1865234375, 1.54541015625
25, 568004663, 0.40731191635131836, 0.32674989104270935, -9.852675437927246, -2.522057056427002, -1.446118712425232, -2.290005922317505, -0.294921875, -0.18798828125, 1.552978515625
26, 568021330, 0.4008084237575531, 0.3099774122238159, -9.844473838806152, -2.469794511795044, -1.5276567935943604, -2.1783218383789062, -0.298828125, -0.18701171875, 1.5546875
27, 568037997, 0.3999673128128052, 0.3196723163127899, -9.846616744995117, -2.4586784839630127, -1.5605179071426392, -2.342576026916504, -0.294921875, -0.185546875, 1.558349609375
28, 568054664, 0.3900468051433563, 0.3094613254070282, -9.849379539489746, -2.5798778533935547, -1.4583743810653687, -2.2876625061035156, -0.294921875, -0.18408203125, 1.54931640625
29, 568071331, 0.3911040425300598, 0.31874364614486694, -9.84415340423584, -2.4995434284210205, -1.577780842781067, -2.2754452228546143, -0.29736328125, -0.1826171875, 1.5478515625
30, 568087998, 0.3906508982181549, 0.30977389216423035, -9.8514404296875, -2.435600996017456, -1.4618191719055176, -2.2595396041870117, -0.29931640625, -0.18603515625, 1.546630859375
31, 568104665, 0.37951213121414185, 0.32284340262413025, -9.86568546295166, -2.5023608207702637, -1.5216634273529053, -2.251868486404419, -0.29541015625, -0.18798828125, 1.5517578125
32, 568121332, 0.40261682868003845, 0.3093660771846771, -9.8502197265625, -2.4461026191711426, -1.4386781454086304, -2.353372097015381, -0.296875, -0.1875, 1.555419921875
33, 568137999, 0.3877773582935333, 0.31382569670677185, -9.850595474243164, -2.5023608207702637, -1.5259021520614624, -2.3080244064331055, -0.29638671875, -0.1875, 1.559814453125
34, 568154666, 0.39052534103393555, 0.3056102395057678, -9.838842391967773, -2.4908738136291504, -1.3953416347503662, -2.293438196182251, -0.29345703125, -0.1845703125, 1.554931640625
35, 568171333, 0.3796696066856384, 0.30942416191101074, -9.831194877624512, -2.4842529296875, -1.4436087608337402, -2.3178341388702393, -0.2978515625, -0.1845703125, 1.547119140625
36, 568188000, 0.3956761956214905, 0.3024902939796448, -9.840887069702148, -2.479872703552246, -1.5346232652664185, -2.2772891521453857, -0.2978515625, -0.1875, 1.544677734375
37, 568204667, 0.40621018409729004, 0.3202224373817444, -9.848740577697754, -2.4472293853759766, -1.5219067335128784, -2.273165702819824, -0.29736328125, -0.18798828125, 1.553466796875
38, 568221334, 0.39232614636421204, 0.31155118346214294, -9.847278594970703, -2.4568729400634766, -1.4639580249786377, -2.2595272064208984, -0.29833984375, -0.1875, 1.5537109375
39, 568238001, 0.3874567151069641, 0.30319806933403015, -9.860663414001465, -2.472099781036377, -1.4535080194473267, -2.2628307342529297, -0.294921875, -0.1845703125, 1.559326171875
40, 568254668, 0.39741051197052, 0.3078846335411072, -9.837902069091797, -2.512951374053955, -1.4993162155151367, -2.2819762229919434, -0.2958984375, -0.1865234375, 1.55126953125
41, 568271335, 0.39925137162208557, 0.3182021677494049, -9.831487655639648, -2.458409547805786, -1.4519070386886597, -2.311495065689087, -0.29638671875, -0.1826171875, 1.546875
42, 568288002, 0.3980046212673187, 0.32126620411872864, -9.848123550415039, -2.383082628250122, -1.469592809677124, -2.3430116176605225, -0.2978515625, -0.1865234375, 1.546875
43, 568304669, 0.3947085738182068, 0.3058725595474243, -9.85190486907959, -2.484790563583374, -1.5653202533721924, -2.268683671951294, -0.29833984375, -0.185546875, 1.5517578125
44, 568321336, 0.39738351106643677, 0.31715336441993713, -9.829753875732422, -2.44357967376709, -1.4891095161437988, -2.2386014461517334, -0.29638671875, -0.1865234375, 1.555419921875
45, 568338003, 0.39628490805625916, 0.31762930750846863, -9.830918312072754, -2.4598183631896973, -1.4847298860549927, -2.274394989013672, -0.29443359375, -0.18505859375, 1.557861328125
46, 568354670, 0.39826083183288574, 0.31456610560417175, -9.835662841796875, -2.4372406005859375, -1.4850883483886719, -2.285536766052246, -0.29443359375, -0.1845703125, 1.54931640625
47, 568371337, 0.3931194245815277, 0.33230653405189514, -9.852789878845215, -2.4457311630249023, -1.489365577697754, -2.327810287475586, -0.29345703125, -0.18505859375, 1.548828125
48, 568388004, 0.3885817229747772, 0.3151433765888214, -9.826375007629395, -2.4577178955078125, -1.546085000038147, -2.260845899581909, -0.2978515625, -0.1875, 1.545654296875
49, 568404671, 0.39790910482406616, 0.3150150775909424, -9.83752727508545, -2.4365105628967285, -1.4333124160766602, -2.306039333343506, -0.295166015625, -0.18994140625, 1.553955078125
