sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:54:15.232 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 275926602, -9.74556827545166, -0.07126706093549728, -0.14491799473762512, -0.08012931793928146, -0.8375096321105957, -0.9471448063850403, 0.676025390625, 0.410888671875, -0.012939453125
2, 275943269, -9.736915588378906, -0.08869333565235138, -0.14788222312927246, -0.3731898367404938, -0.653840959072113, -0.8370358347892761, 0.673095703125, 0.41064453125, -0.013916015625
3, 275959936, -9.739604949951172, -0.07141660153865814, -0.1557331085205078, -0.4164624512195587, -0.5215898156166077, -0.6730504631996155, 0.676025390625, 0.4091796875, -0.012451171875
4, 275976603, -9.74535083770752, -0.0781211331486702, -0.16652832925319672, -0.21865561604499817, -0.5925753712654114, -0.7762953639030457, 0.676513671875, 0.411376953125, -0.013916015625
5, 275993270, -9.742074012756348, -0.06846503168344498, -0.17531637847423553, -0.018325885757803917, -0.7373127341270447, -0.7822117805480957, 0.677978515625, 0.40966796875, -0.015380859375
6, 276009937, -9.758073806762695, -0.08758320659399033, -0.15123137831687927, -0.12908801436424255, -0.7834796905517578, -0.8763256669044495, 0.677001953125, 0.411376953125, -0.013427734375
7, 276026604, -9.731067657470703, -0.07983648031949997, -0.16306661069393158, -0.18638363480567932, -0.732420802116394, -0.7607868909835815, 0.676025390625, 0.40966796875, -0.012451171875
8, 276043271, -9.746445655822754, -0.07409615814685822, -0.14768017828464508, -0.20510649681091309, -0.7642316818237305, -0.8652225732803345, 0.675537109375, 0.4091796875, -0.01171875
9, 276059938, -9.738031387329102, -0.061227597296237946, -0.1490447074174881, -0.2597768008708954, -0.7554336786270142, -0.7546781301498413, 0.677001953125, 0.4091796875, -0.013916015625
10, 276076605, -9.7413969039917, -0.06950825452804565, -0.16350384056568146, -0.08876080811023712, -0.7739261388778687, -0.8114359378814697, 0.677978515625, 0.4091796875, -0.014892578125
11, 276093272, -9.75062084197998, -0.06306608021259308, -0.14970706403255463, -0.3562470078468323, -0.6127069592475891, -0.7708781361579895, 0.680908203125, 0.410400390625, -0.01513671875
12, 276109939, -9.750618934631348, -0.08785106986761093, -0.1524171382188797, -0.6221452355384827, -0.5024698972702026, -0.8601640462875366, 0.677978515625, 0.40869140625, -0.013916015625
13, 276126606, -9.743990898132324, -0.08457672595977783, -0.15944747626781464, -0.653495192527771, -0.3896331489086151, -0.8287245035171509, 0.677001953125, 0.4091796875, -0.012939453125
14, 276143273, -9.746129989624023, -0.05915502831339836, -0.16627296805381775, -0.3624196946620941, -0.598056435585022, -0.8047894239425659, 0.672607421875, 0.41162109375, -0.011474609375
15, 276159940, -9.748762130737305, -0.06192602217197418, -0.1446223109960556, -0.08995180577039719, -0.8295953869819641, -0.8235892653465271, 0.676513671875, 0.411376953125, -0.0107421875
16, 276176607, -9.750004768371582, -0.07157637178897858, -0.17007263004779816, -0.11124876886606216, -0.7905487418174744, -0.84051913022995, 0.675537109375, 0.4091796875, -0.015869140625
17, 276193274, -9.754185676574707, -0.06929872184991837, -0.1425122320652008, -0.1015927717089653, -0.8770171999931335, -0.9209302067756653, 0.680419921875, 0.4091796875, -0.015625
18, 276209941, -9.743889808654785, -0.06951820850372314, -0.1642560511827469, -0.07448173314332962, -0.8534920811653137, -0.8934733867645264, 0.678466796875, 0.4091796875, -0.014892578125
19, 276226608, -9.742138862609863, -0.07221516221761703, -0.1597142070531845, -0.15170402824878693, -0.8156365156173706, -0.7424865961074829, 0.676025390625, 0.40966796875, -0.01220703125
20, 276243275, -9.741127014160156, -0.061567891389131546, -0.12940965592861176, -0.2257247418165207, -0.6631384491920471, -0.6408041715621948, 0.671630859375, 0.40869140625, -0.011474609375
21, 276259942, -9.740006446838379, -0.08010771125555038, -0.1569623500108719, -0.38087359070777893, -0.6034991145133972, -0.8055833578109741, 0.674072265625, 0.411376953125, -0.013427734375
22, 276276609, -9.737071990966797, -0.06840986013412476, -0.15218865871429443, -0.4068449139595032, -0.5922808647155762, -0.9488736987113953, 0.677978515625, 0.41015625, -0.01318359375
23, 276293276, -9.75417423248291, -0.0647546797990799, -0.17080163955688477, -0.2575228810310364, -0.5097054839134216, -0.9165504574775696, 0.678466796875, 0.410888671875, -0.015869140625
