sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:53:26.776 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 227447014, 9.878714561462402, -0.21762149035930634, -0.17922256886959076, -0.044783808290958405, -0.8857128620147705, -0.8835101127624512, -1.028076171875, -0.147216796875, -0.011962890625
2, 227463681, 9.883328437805176, -0.22802092134952545, -0.17110614478588104, -0.0643647164106369, -0.8736236095428467, -0.9040899276733398, -1.028564453125, -0.146728515625, -0.011474609375
3, 227480348, 9.892619132995605, -0.213095024228096, -0.15798962116241455, -0.10233553498983383, -0.7883716821670532, -0.8120505809783936, -1.024658203125, -0.147705078125, -0.009033203125
4, 227497015, 9.878523826599121, -0.21355143189430237, -0.1597428321838379, -0.25006958842277527, -0.852902889251709, -0.8066080212593079, -1.024169921875, -0.147216796875, -0.009033203125
5, 227513682, 9.889324188232422, -0.2053682953119278, -0.17618919909000397, -0.09707212448120117, -0.7772557139396667, -0.8630454540252686, -1.027099609375, -0.148193359375, -0.009033203125
6, 227530349, 9.881994247436523, -0.2246893346309662, -0.17135845124721527, -0.2198082059621811, -0.7827113270759583, -0.9189835786819458, -1.028076171875, -0.1494140625, -0.010009765625
7, 227547016, 9.882814407348633, -0.2245069146156311, -0.1498039811849594, -0.2298099398612976, -0.7353149056434631, -0.8538249135017395, -1.030029296875, -0.1494140625, -0.011474609375
8, 227563683, 9.895143508911133, -0.20479518175125122, -0.16180697083473206, -0.1883942037820816, -0.8005632758140564, -0.8193630576133728, -1.026611328125, -0.147216796875, -0.011962890625
9, 227580350, 9.888310432434082, -0.22172877192497253, -0.18732032179832458, -0.16680271923542023, -0.850559413433075, -0.8389568328857422, -1.024169921875, -0.148681640625, -0.009033203125
10, 227597017, 9.891724586486816, -0.2266189306974411, -0.15719927847385406, -0.08440665155649185, -0.7296546101570129, -0.9541114568710327, -1.02197265625, -0.149169921875, -0.00732421875
11, 227613684, 9.898138046264648, -0.21479679644107819, -0.17116592824459076, -0.28145796060562134, -0.6928107738494873, -0.929894745349884, -1.024169921875, -0.1494140625, -0.0078125
12, 227630351, 9.89084529876709, -0.2105219066143036, -0.15891027450561523, -0.3621123731136322, -0.6261921525001526, -0.9339542984962463, -1.027587890625, -0.14892578125, -0.010009765625
13, 227647018, 9.891829490661621, -0.20226188004016876, -0.17005077004432678, -0.2705853581428528, -0.7095742225646973, -0.8150344491004944, -1.029541015625, -0.14794921875, -0.010498046875
14, 227663685, 9.882251739501953, -0.2094384729862213, -0.15930093824863434, -0.1909426599740982, -0.7580334544181824, -0.7781906127929688, -1.028564453125, -0.1494140625, -0.010498046875
15, 227680352, 9.886554718017578, -0.21877002716064453, -0.1613316386938095, -0.27208366990089417, -0.634067952632904, -0.8835868239402771, -1.024169921875, -0.1494140625, -0.009521484375
16, 227697019, 9.885403633117676, -0.21139104664325714, -0.18428555130958557, -0.3301732838153839, -0.6813745498657227, -0.8201441764831543, -1.024658203125, -0.147705078125, -0.009033203125
17, 227713686, 9.887381553649902, -0.21587969362735748, -0.1508493274450302, -0.2526692748069763, -0.6940272450447083, -0.8338725566864014, -1.026123046875, -0.1494140625, -0.009033203125
18, 227730353, 9.895258903503418, -0.2115105390548706, -0.15017573535442352, -0.2758103609085083, -0.6643421649932861, -0.92967689037323, -1.028564453125, -0.1494140625, -0.010498046875
19, 227747020, 9.899084091186523, -0.2138630598783493, -0.15442955493927002, -0.3074035942554474, -0.7218042612075806, -0.8134336471557617, -1.029541015625, -0.147216796875, -0.010498046875
20, 227763687, 9.882084846496582, -0.21048030257225037, -0.18192420899868011, -0.2954809069633484, -0.7333171963691711, -0.7543196082115173, -1.025634765625, -0.148193359375, -0.011474609375
21, 227780354, 9.888175964355469, -0.19604066014289856, -0.16648615896701813, -0.1957450658082962, -0.7655636072158813, -0.8494963645935059, -1.025146484375, -0.1494140625, -0.010498046875
22, 227797021, 9.889084815979004, -0.21669916808605194, -0.1623137891292572, -0.2376730591058731, -0.7669723033905029, -0.8675662279129028, -1.025146484375, -0.14892578125, -0.00732421875
23, 227813688, 9.90356159210205, -0.22096465528011322, -0.14742735028266907, -0.18494929373264313, -0.7436519265174866, -0.7637450695037842, -1.026611328125, -0.148193359375, -0.008544921875
24, 227830355, 9.892637252807617, -0.20591016113758087, -0.16533567011356354, -0.2235860377550125, -0.7398868203163147, -0.7975410223007202, -1.027099609375, -0.148193359375, -0.010498046875
25, 227847022, 9.903862953186035, -0.22730812430381775, -0.1488325446844101, -0.271020770072937, -0.6855238676071167, -0.8164944052696228, -1.030029296875, -0.148681640625, -0.013916015625
26, 227863689, 9.88982105255127, -0.2101023942232132, -0.17259813845157623, -0.1659446805715561, -0.7834667563438416, -0.8189148306846619, -1.027587890625, -0.15087890625, -0.010986328125
27, 227880356, 9.890955924987793, -0.2201070934534073, -0.1469828486442566, -0.29654380679130554, -0.7299875020980835, -0.7534999847412109, -1.026123046875, -0.14990234375, -0.010986328125
28, 227897023, 9.884354591369629, -0.22147275507450104, -0.1431695818901062, -0.3209783434867859, -0.6875216960906982, -0.8555665612220764, -1.023681640625, -0.148681640625, -0.0087890625
29, 227913690, 9.897562980651855, -0.21559283137321472, -0.18494422733783722, -0.27666836977005005, -0.6607564687728882, -0.7864123582839966, -1.026123046875, -0.146728515625, -0.008544921875
30, 227930357, 9.894079208374023, -0.209166020154953, -0.14622025191783905, -0.3115016520023346, -0.6511772274971008, -0.8596773743629456, -1.029052734375, -0.150390625, -0.010986328125
31, 227947024, 9.886357307434082, -0.21538792550563812, -0.16049982607364655, -0.3125517666339874, -0.644620418548584, -0.9240933656692505, -1.029541015625, -0.148193359375, -0.011474609375
32, 227963691, 9.886332511901855, -0.22680330276489258, -0.1782013177871704, -0.33620506525039673, -0.6563253998756409, -0.8507385849952698, -1.024169921875, -0.14990234375, -0.009521484375
33, 227980358, 9.89224910736084, -0.21505491435527802, -0.1691509634256363, -0.3198769986629486, -0.6622547507286072, -0.8732777237892151, -1.022705078125, -0.147216796875, -0.0087890625
34, 227997025, 9.890412330627441, -0.20884394645690918, -0.15960349142551422, -0.17352603375911713, -0.7955048680305481, -0.8872624039649963, -1.021728515625, -0.148193359375, -0.00927734375
35, 228013692, 9.907852172851562, -0.22161419689655304, -0.16275641322135925, -0.2578558325767517, -0.67010498046875, -0.9326608777046204, -1.025634765625, -0.146728515625, -0.009521484375
36, 228030359, 9.896411895751953, -0.2137203812599182, -0.17368192970752716, -0.21463444828987122, -0.7891145348548889, -0.8239734172821045, -1.025634765625, -0.145751953125, -0.010009765625
37, 228047026, 9.894051551818848, -0.20345598459243774, -0.167332261800766, -0.3074292242527008, -0.7818916440010071, -0.8272133469581604, -1.030029296875, -0.146240234375, -0.011474609375
38, 228063693, 9.892879486083984, -0.2142426073551178, -0.16347602009773254, -0.2005218118429184, -0.6890071630477905, -0.8003455996513367, -1.025634765625, -0.1484375, -0.008056640625
39, 228080360, 9.88337230682373, -0.21614918112754822, -0.15083876252174377, -0.23483002185821533, -0.797156810760498, -0.8098607063293457, -1.026123046875, -0.147705078125, -0.008056640625
40, 228097027, 9.893525123596191, -0.2232624888420105, -0.17215631902217865, -0.2963133156299591, -0.7671772241592407, -0.7377225756645203, -1.025146484375, -0.1484375, -0.008056640625
