sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:56:18.431 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 399105443, 0.0690879374742508, -9.825895309448242, -0.18092088401317596, -0.14588993787765503, -0.6114903688430786, -0.8621746301651001, -0.495849609375, 0.91650390625, -0.089599609375
2, 399122110, 0.07133747637271881, -9.823487281799316, -0.17397381365299225, -0.16627763211727142, -0.6589123010635376, -0.8659525513648987, -0.497314453125, 0.91259765625, -0.088623046875
3, 399138777, 0.06371428817510605, -9.822696685791016, -0.193414568901062, -0.17549820244312286, -0.6862538456916809, -0.8677453994750977, -0.497802734375, 0.911376953125, -0.088623046875
4, 399155444, 0.07397853583097458, -9.82956314086914, -0.16818927228450775, -0.1958474963903427, -0.7227647304534912, -0.8036368489265442, -0.496337890625, 0.91455078125, -0.089599609375
5, 399172111, 0.08193527907133102, -9.82336139678955, -0.1804458200931549, -0.23126986622810364, -0.7296544909477234, -0.796811044216156, -0.49658203125, 0.91748046875, -0.091064453125
6, 399188778, 0.07228894531726837, -9.820636749267578, -0.1745341569185257, -0.3853558897972107, -0.7882307767868042, -0.8336549401283264, -0.493408203125, 0.916015625, -0.093017578125
7, 399205445, 0.07561410963535309, -9.814727783203125, -0.19132880866527557, -0.3370759189128876, -0.8564118146896362, -0.8932942152023315, -0.495849609375, 0.916015625, -0.0888671875
8, 399222112, 0.07162289321422577, -9.826534271240234, -0.17259341478347778, -0.3831019401550293, -0.7859768867492676, -0.8470887541770935, -0.495361328125, 0.909423828125, -0.08837890625
9, 399238779, 0.07248181104660034, -9.82376480102539, -0.16787588596343994, -0.411237508058548, -0.7483006715774536, -0.8045205473899841, -0.497314453125, 0.9130859375, -0.090576171875
10, 399255446, 0.07110103964805603, -9.823020935058594, -0.15844058990478516, -0.31480565667152405, -0.7348794937133789, -0.8334243297576904, -0.493408203125, 0.916015625, -0.09033203125
