sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:55:39.326 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 360015666, 0.13559697568416595, 9.775471687316895, -0.23890002071857452, -0.2724166214466095, -0.7650384902954102, -0.7266834378242493, 0.131591796875, -0.74951171875, 0.00634765625
2, 360032333, 0.14214640855789185, 9.786429405212402, -0.20977959036827087, -0.2784612774848938, -0.7162078619003296, -0.8377017378807068, 0.1328125, -0.75244140625, 0.005859375
3, 360049000, 0.1510433703660965, 9.778310775756836, -0.20204457640647888, -0.320056289434433, -0.8198497295379639, -0.8417614102363586, 0.130615234375, -0.75341796875, 0.003662109375
4, 360065667, 0.12690311670303345, 9.78272533416748, -0.21813121438026428, -0.25433412194252014, -0.8249210715293884, -0.7811489701271057, 0.130859375, -0.755615234375, 0.004150390625
5, 360082334, 0.13246627151966095, 9.790078163146973, -0.21123535931110382, -0.2760920524597168, -0.8235890865325928, -0.8046228885650635, 0.129150390625, -0.75244140625, 0.005615234375
6, 360099001, 0.14042459428310394, 9.781111717224121, -0.20906321704387665, -0.23016852140426636, -0.7407065033912659, -0.7735803723335266, 0.129150390625, -0.7490234375, 0.007080078125
7, 360115668, 0.1275734156370163, 9.779329299926758, -0.21650606393814087, -0.28556880354881287, -0.7130703926086426, -0.8150344491004944, 0.130615234375, -0.7490234375, 0.006103515625
8, 360132335, 0.14035357534885406, 9.78338623046875, -0.21728108823299408, -0.28961557149887085, -0.7484799027442932, -0.8485743403434753, 0.13330078125, -0.751953125, 0.0048828125
9, 360149002, 0.14133675396442413, 9.773757934570312, -0.23245087265968323, -0.22097355127334595, -0.7962475419044495, -0.7912530899047852, 0.13037109375, -0.755126953125, 0.003662109375
10, 360165669, 0.13391542434692383, 9.777691841125488, -0.24209067225456238, -0.2583425045013428, -0.7563686966896057, -0.7878594994544983, 0.130126953125, -0.75341796875, 0.005615234375
11, 360182336, 0.12112528830766678, 9.782510757446289, -0.21368800103664398, -0.3131024241447449, -0.6432884335517883, -0.8512892723083496, 0.130615234375, -0.75146484375, 0.006591796875
12, 360199003, 0.15073120594024658, 9.786458015441895, -0.21509051322937012, -0.09982548654079437, -0.7067952156066895, -0.9129390120506287, 0.1318359375, -0.7529296875, 0.0078125
13, 360215670, 0.14918114244937897, 9.776473999023438, -0.22249558568000793, -0.1825929433107376, -0.716374397277832, -0.8237812519073486, 0.129150390625, -0.75244140625, 0.007080078125
14, 360232337, 0.13622470200061798, 9.786005973815918, -0.2137397676706314, -0.19650061428546906, -0.7901772856712341, -0.7493506669998169, 0.1318359375, -0.75341796875, 0.003662109375
15, 360249004, 0.1331641525030136, 9.76380443572998, -0.17205776274204254, -0.24800777435302734, -0.8071202635765076, -0.8423505425453186, 0.13134765625, -0.75244140625, 0.004150390625
16, 360265671, 0.1358620822429657, 9.785334587097168, -0.21277283132076263, -0.22267679870128632, -0.7104578018188477, -0.8848546743392944, 0.12939453125, -0.755126953125, 0.002197265625
17, 360282338, 0.1400119662284851, 9.775613784790039, -0.23863624036312103, -0.1547519415616989, -0.561750590801239, -0.876825213432312, 0.13330078125, -0.75146484375, 0.005859375
18, 360299005, 0.13314998149871826, 9.793318748474121, -0.22041094303131104, -0.24180948734283447, -0.649486780166626, -0.8453471064567566, 0.131591796875, -0.7490234375, 0.00634765625
19, 360315672, 0.158429354429245, 9.777873992919922, -0.21331824362277985, -0.26288869976997375, -0.7355966567993164, -0.8493298888206482, 0.13232421875, -0.7509765625, 0.00537109375
20, 360332339, 0.1289965659379959, 9.778377532958984, -0.21898779273033142, -0.3551328778266907, -0.8219243288040161, -0.8514301180839539, 0.130859375, -0.754150390625, 0.004638671875
21, 360349006, 0.14374151825904846, 9.786643028259277, -0.231861874461174, -0.21723413467407227, -0.6701050400733948, -0.806415855884552, 0.13134765625, -0.75341796875, 0.003173828125
22, 360365673, 0.13509555160999298, 9.781277656555176, -0.22577549517154694, -0.21344344317913055, -0.6813106536865234, -0.8606764078140259, 0.1328125, -0.757080078125, 0.003662109375
23, 360382340, 0.13787482678890228, 9.774423599243164, -0.21910201013088226, -0.22792738676071167, -0.635374128818512, -0.8155466914176941, 0.130126953125, -0.751953125, 0.006591796875
24, 360399007, 0.1393887996673584, 9.78003215789795, -0.22452040016651154, -0.19872893393039703, -0.6982277035713196, -0.8629302382469177, 0.130615234375, -0.75146484375, 0.00830078125
25, 360415674, 0.14037880301475525, 9.77448558807373, -0.21091178059577942, -0.17425599694252014, -0.6667882204055786, -0.8179671168327332, 0.131591796875, -0.74951171875, 0.00634765625
26, 360432341, 0.14023694396018982, 9.78222370147705, -0.21304726600646973, -0.149821475148201, -0.5661302804946899, -0.794877290725708, 0.13134765625, -0.75341796875, 0.005126953125
27, 360449008, 0.13472527265548706, 9.794018745422363, -0.22876408696174622, -0.16221800446510315, -0.6133217215538025, -0.868078351020813, 0.13330078125, -0.75439453125, 0.004150390625
28, 360465675, 0.13080757856369019, 9.777368545532227, -0.22054795920848846, -0.13784755766391754, -0.5978900790214539, -0.982631266117096, 0.13134765625, -0.754638671875, 0.004638671875
