sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:52:15.054 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 155748014, 0.12787318229675293, 0.02543625980615616, -9.994300842285156, -0.25333520770072937, -0.6919142603874207, -0.842376172542572, -0.115966796875, -0.082763671875, 1.1318359375
2, 155764681, 0.12657076120376587, 0.017894404008984566, -9.992115020751953, -0.2854663133621216, -0.7266066074371338, -0.8410824537277222, -0.114501953125, -0.084228515625, 1.13134765625
3, 155781348, 0.13707979023456573, 0.016469594091176987, -9.98309326171875, -0.12787139415740967, -0.6947060227394104, -0.8033166527748108, -0.114501953125, -0.083251953125, 1.12841796875
4, 155798015, 0.13463155925273895, 0.02274433523416519, -9.978398323059082, -0.28545352816581726, -0.7069873809814453, -0.8336806297302246, -0.115478515625, -0.084716796875, 1.12890625
5, 155814682, 0.1209765076637268, 0.022254645824432373, -10.01529312133789, -0.2523747384548187, -0.7045542001724243, -0.801997721195221, -0.113525390625, -0.08544921875, 1.13427734375
6, 155831349, 0.11974526941776276, 0.01772657036781311, -10.004096984863281, -0.23681502044200897, -0.7602745294570923, -0.8153802752494812, -0.114990234375, -0.0869140625, 1.135986328125
7, 155848016, 0.12624821066856384, 0.01616235263645649, -9.988456726074219, -0.29523757100105286, -0.713019073009491, -0.7839791178703308, -0.114990234375, -0.08740234375, 1.13427734375
8, 155864683, 0.12828058004379272, 0.021763570606708527, -9.99394702911377, -0.2776416540145874, -0.7315755486488342, -0.8186458945274353, -0.114013671875, -0.083740234375, 1.13330078125
9, 155881350, 0.12883861362934113, -0.0035578878596425056, -10.025940895080566, -0.29270192980766296, -0.6819381713867188, -0.789806067943573, -0.114501953125, -0.083251953125, 1.12744140625
10, 155898017, 0.12345190346240997, 0.023037882521748543, -9.9879732131958, -0.3043684959411621, -0.727912962436676, -0.8810127973556519, -0.115478515625, -0.084228515625, 1.1298828125
11, 155914684, 0.1281088888645172, 0.014170128852128983, -10.009610176086426, -0.31469041109085083, -0.7441641688346863, -0.8588449954986572, -0.114013671875, -0.0859375, 1.1328125
12, 155931351, 0.12024371325969696, 9.887060150504112E-4, -10.026175498962402, -0.23333169519901276, -0.7563558220863342, -0.8939728736877441, -0.114013671875, -0.08544921875, 1.137451171875
13, 155948018, 0.12306322902441025, 0.026171725243330002, -10.014995574951172, -0.25311750173568726, -0.7496324777603149, -0.8489713072776794, -0.114990234375, -0.08447265625, 1.1328125
14, 155964685, 0.12546943128108978, 0.026304366067051888, -9.99794864654541, -0.23529104888439178, -0.7199729084968567, -0.8096557855606079, -0.115966796875, -0.083251953125, 1.1318359375
15, 155981352, 0.12096335738897324, 0.015018087811768055, -9.976076126098633, -0.25523054599761963, -0.7312041521072388, -0.8453599214553833, -0.114501953125, -0.084228515625, 1.126953125
16, 155998019, 0.12729933857917786, 0.00992867723107338, -10.005085945129395, -0.2561397850513458, -0.7366212010383606, -0.8277255296707153, -0.115478515625, -0.084228515625, 1.126953125
17, 156014686, 0.1224064975976944, 0.023227611556649208, -10.015451431274414, -0.22187000513076782, -0.6885973811149597, -0.7948517203330994, -0.114990234375, -0.0859375, 1.13232421875
18, 156031353, 0.1243233010172844, 0.020651014521718025, -9.996450424194336, -0.27064940333366394, -0.7422561049461365, -0.816724956035614, -0.114990234375, -0.08447265625, 1.134765625
19, 156048020, 0.1167345717549324, 0.014714977703988552, -10.002604484558105, -0.25361692905426025, -0.7721587419509888, -0.8386108875274658, -0.114990234375, -0.0830078125, 1.135986328125
20, 156064687, 0.12933214008808136, 0.026079023256897926, -9.980360984802246, -0.27359482645988464, -0.7349947690963745, -0.8321437835693359, -0.115966796875, -0.083740234375, 1.13037109375
21, 156081354, 0.1257902830839157, 0.02731999382376671, -9.999242782592773, -0.28432658314704895, -0.6984327435493469, -0.8122299313545227, -0.115966796875, -0.082763671875, 1.12646484375
22, 156098021, 0.11892654001712799, 0.01288288738578558, -9.987317085266113, -0.2945972681045532, -0.709587037563324, -0.8224749565124512, -0.115478515625, -0.081298828125, 1.126953125
23, 156114688, 0.13439436256885529, 0.016787447035312653, -9.984943389892578, -0.279255211353302, -0.7180520296096802, -0.8017799258232117, -0.115966796875, -0.08642578125, 1.13134765625
24, 156131355, 0.13163737952709198, 0.02340289019048214, -9.9847993850708, -0.2680625021457672, -0.8427730202674866, -0.8511356115341187, -0.113525390625, -0.08544921875, 1.138427734375
25, 156148022, 0.13222114741802216, 0.019717717543244362, -9.994341850280762, -0.21359708905220032, -0.7649616599082947, -0.8374327421188354, -0.113037109375, -0.0859375, 1.135009765625
26, 156164689, 0.12707290053367615, 0.022059913724660873, -10.00324535369873, -0.20966556668281555, -0.7251724004745483, -0.8602538108825684, -0.115966796875, -0.083740234375, 1.1298828125
27, 156181356, 0.1262217015028, 0.014773881062865257, -9.998650550842285, -0.23507337272167206, -0.7288094162940979, -0.7818533182144165, -0.114990234375, -0.083251953125, 1.126953125
28, 156198023, 0.10840290039777756, 0.03368267044425011, -9.982832908630371, -0.1828874796628952, -0.721625030040741, -0.820029079914093, -0.116455078125, -0.0849609375, 1.1279296875
29, 156214690, 0.1249772235751152, 0.020902182906866074, -10.00078296661377, -0.31851956248283386, -0.6911458969116211, -0.8397507667541504, -0.114990234375, -0.08447265625, 1.134765625
30, 156231357, 0.1168239489197731, 0.015534023754298687, -9.998133659362793, -0.29636454582214355, -0.7081143260002136, -0.8154443502426147, -0.114501953125, -0.0849609375, 1.134765625
31, 156248024, 0.1215926930308342, 0.00793815590441227, -9.99405288696289, -0.2745040953159332, -0.7506570219993591, -0.9091996550559998, -0.114501953125, -0.0849609375, 1.1328125
32, 156264691, 0.13217687606811523, 0.029687538743019104, -10.016668319702148, -0.25757408142089844, -0.6768923997879028, -0.7760776281356812, -0.115966796875, -0.08447265625, 1.1318359375
33, 156281358, 0.1183760017156601, 0.01846717670559883, -10.000578880310059, -0.22599364817142487, -0.6494612097740173, -0.8085928559303284, -0.115478515625, -0.082275390625, 1.126953125
34, 156298025, 0.12718716263771057, 0.02440069429576397, -10.002182960510254, -0.29115235805511475, -0.7513870000839233, -0.7991674542427063, -0.118408203125, -0.0849609375, 1.12744140625
35, 156314692, 0.12523703277111053, 0.024219324812293053, -9.98723316192627, -0.21747742593288422, -0.6754580140113831, -0.8797962069511414, -0.116943359375, -0.083740234375, 1.1318359375
