sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 13:51:15.885 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 96558820, 0.03898702561855316, -0.13997159898281097, 9.66308879852295, -0.259072482585907, -0.7105860114097595, -0.7704429030418396, -0.079833984375, 0.238525390625, -1.48681640625
2, 96575487, 0.03005681000649929, -0.14110371470451355, 9.683870315551758, -0.23529104888439178, -0.6886998414993286, -0.8012548089027405, -0.075439453125, 0.239013671875, -1.48388671875
3, 96592154, 0.03814300522208214, -0.12908847630023956, 9.6525239944458, -0.27401745319366455, -0.7648591995239258, -0.7905230522155762, -0.079833984375, 0.237548828125, -1.48095703125
4, 96608821, 0.028534960001707077, -0.14159061014652252, 9.653519630432129, -0.247444286942482, -0.7532182335853577, -0.8034191131591797, -0.079345703125, 0.239990234375, -1.479736328125
5, 96625488, 0.03216756135225296, -0.15282686054706573, 9.662178039550781, -0.2844930589199066, -0.7141333222389221, -0.7787284851074219, -0.079833984375, 0.238037109375, -1.48046875
6, 96642155, 0.03586507961153984, -0.1496606171131134, 9.651504516601562, -0.2620563209056854, -0.6826937198638916, -0.8241526484489441, -0.079833984375, 0.240966796875, -1.4814453125
7, 96658822, 0.025401396676898003, -0.13574273884296417, 9.656400680541992, -0.19998396933078766, -0.6789798736572266, -0.9284986853599548, -0.076904296875, 0.243408203125, -1.48388671875
8, 96675489, 0.030088745057582855, -0.13405194878578186, 9.65548324584961, -0.34793567657470703, -0.653495192527771, -0.8021128177642822, -0.078857421875, 0.239990234375, -1.4833984375
9, 96692156, 0.0280909463763237, -0.14511439204216003, 9.685276985168457, -0.20239154994487762, -0.693271815776825, -0.8618161678314209, -0.079833984375, 0.239990234375, -1.48291015625
10, 96708823, 0.02962357923388481, -0.14419808983802795, 9.651972770690918, -0.2858889400959015, -0.6781473755836487, -0.8175573348999023, -0.079833984375, 0.239013671875, -1.479736328125
11, 96725490, 0.019764844328165054, -0.14489589631557465, 9.667296409606934, -0.21906541287899017, -0.6764313578605652, -0.7959402203559875, -0.079345703125, 0.239013671875, -1.48095703125
12, 96742157, 0.04270319268107414, -0.14633943140506744, 9.676407814025879, -0.2535529136657715, -0.7406424283981323, -0.7886021733283997, -0.079833984375, 0.240478515625, -1.479248046875
